archivo,metodo,paginas,chars,marcas_juridicas,estado,detalle,segundos
sc963_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_01_07_2022_pon_773439_número_de_pr.pdf,nativo,71,114039,114,OK,,0.3
sc973_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_23_03_2021_pon_726027_número_de_pr.pdf,nativo,22,32783,28,OK,,0.3
sc9193_2017_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_sentencia_sustituti_541168_número_de_pr.pdf,nativo,158,263974,46,OK,,0.7
sin_clase_de_actuación_publicación_especializada_tipo_de_providencia_publicación_especializada_fecha_776082_número_de_pr.pdf,nativo,66,220200,540,OK,,0.4
1100131030022001_01451_01_clase_de_actuación_recurso_de_casacion_tipo_de_providencia_sentencia_fecha_228005_número_de_pr.pdf,,0,0,0,ERROR,tesseract is not installed or it's not in your PATH. See README file for more information.,3.3
05001_3103_016_2002_00007_01_clase_de_actuación_recurso_de_casacion_tipo_de_providencia_sentencia_fe_227854_número_de_pr.pdf,,0,0,0,ERROR,tesseract is not installed or it's not in your PATH. See README file for more information.,3.3
1100131030142001_01489_01_clase_de_actuación_recurso_de_casacion_tipo_de_providencia_sentencia_fecha_228329_número_de_pr.pdf,,0,0,0,ERROR,tesseract is not installed or it's not in your PATH. See README file for more information.,3.3
05001_3103_005_2000_00229_01_clase_de_actuación_recurso_de_casacion_tipo_de_providencia_sentencia_fe_228015_número_de_pr.pdf,,0,0,0,ERROR,tesseract is not installed or it's not in your PATH. See README file for more information.,3.3
080013103004_2002_00297_01_clase_de_actuación_recurso_de_casacion_tipo_de_providencia_sentencia_fech_227849_número_de_pr.pdf,,0,0,0,ERROR,tesseract is not installed or it's not in your PATH. See README file for more information.,3.3
05001_31_03_014_2003_00412_01_clase_de_actuación_recurso_de_casacion_tipo_de_providencia_sentencia_f_213331_número_de_pr.pdf,,0,0,0,ERROR,tesseract is not installed or it's not in your PATH. See README file for more information.,3.3
